TV Show ,Network ,Year Released 
Full House ,ABC ,1987
A Different World ,NBC,1987
Friends,NBC,1994
The Brady Bunch ,ABC,1969
Scrubs,"ABC,NBC",2001
Seinfield,NBC,1989
Law and Order: Special Victims Unit,NBC,1999
Sesame Street,PBS,1969
Saved by the Bell,NBC,1989
House,FOX,2004
How I Met Your Mother,CBS,2005
The Fresh Prince of Bel-Air,NBC,1990
Gilmore Girls ,WB,2000
Frasier,NBC,1993
Friday Night Lights ,NBC,2006
Star Trek,NBC,1966
Will & Grace,NBC,1998
The Simpsons,FOX,1989
I Love Lucy ,CBS,1951
